,pl_name,pl_orbper,pl_rade,pl_ratror,pl_rprs2,pl_ratdor,sy_kmag,pl_Teq,pl_Trock,ed_1.4_Trock,ed_1.4_Teq,delta_Na,efficiency_kmag,noise,ESM,TSM,disc_facility
905,Kepler-1158 b,13.53962278,2.676,0.010484303210564533,0.00010992061381105377,,12.271,1280.2,1635.9,0.9,0.2,,1.0,243.87081557075066,0.21012786397232344,,Kepler
906,Kepler-1159 b,22.70817353,2.186,0.015905558863859855,0.00025298680277171083,,13.156,833.9,1065.7,0.1,0.0,,1.0,366.5724571889953,0.13024223392686596,,Kepler
907,Kepler-116 b,5.9687219,3.191,0.02135381902804401,0.0004559855870824545,10.828467153284672,12.383,1372.7,1754.1,5.4,1.1,,1.0,256.779193616029,0.909849060319228,,Kepler
908,Kepler-116 c,13.07161083,2.422,0.016207756090856347,0.000262691357500691,18.204379562043798,12.383,1057.0,1350.7,0.5,0.1,,1.0,256.779193616029,0.3192978774059264,,Kepler
909,Kepler-1160 b,7.97003744,1.61,0.019421447916903083,0.0003771926391889791,,14.16,864.0,1104.1,0.2,0.0,,1.0,582.0493796192919,0.154718523133313,,Kepler
910,Kepler-1161 b,10.71253219,2.859,0.03404025077983681,0.0011587386731541803,,13.141,629.1,804.0,0.0,0.0,,1.0,364.0489901434869,0.41353838819872063,,Kepler
911,Kepler-1162 b,32.56356274,1.94,0.021428558563707182,0.0004591831221182284,,13.753,520.1,664.6,0.0,0.0,,1.0,482.56945676778605,0.05558983845864874,,Kepler
912,Kepler-1163 b,6.11789109,1.061,0.007259051980288296,5.2693835652527426e-05,,10.971,1322.2,1689.7,0.5,0.1,,1.0,134.01698109712189,0.1891053081318989,,Kepler
913,Kepler-1164 b,3.97600484,1.089,0.012799782731283377,0.00016383443796806014,,12.203,1020.0,1303.4,0.4,0.0,,1.0,236.35229879899862,0.2512810701421934,,Kepler
914,Kepler-1165 b,9.47876623,2.291,0.01207105313593024,0.00014571032381045126,,13.07,1290.8,1649.5,1.3,0.2,,1.0,352.33828060871485,0.1994277213567872,,Kepler
915,Kepler-1166 b,33.24044781,1.557,0.016793414504223423,0.0002820187707106616,,12.737,539.6,689.5,0.0,0.0,,1.0,302.24549103126094,0.060225727671626365,,Kepler
916,Kepler-1167 b,1.003936,1.659,0.019499393527271924,0.0003802263479314142,,13.663,1578.6,2017.3,17.6,4.2,,1.0,462.97744157331476,0.7337966247639683,,Kepler
917,Kepler-1168 b,55.8224422,1.953,0.024195792105171147,0.0005854363555966624,,13.686,395.8,505.8,0.0,0.0,,1.0,467.9073105973684,0.027005084702341208,,Kepler
918,Kepler-1169 b,6.11014294,0.944,0.006814556459873305,4.6438179744800985e-05,,11.409,1200.8,1534.4,0.3,0.0,,1.0,163.96827609602403,0.12078897107172859,,Kepler
919,Kepler-117 b,18.79593028,8.504,0.046966098460248934,0.0022058144045777974,19.67,13.011,984.9,1258.6,2.8,0.3,167987.90887812868,1.0,342.8939564407966,1.7926630489048074,18.30779374621845,Kepler
920,Kepler-117 c,50.7903912,12.209,0.06742816275884045,0.004546557133032678,38.18,13.011,707.1,903.6,0.2,0.0,4500320.7589733815,1.0,342.8939564407966,1.6711713999869218,1.987119734542498,Kepler
921,Kepler-1170 b,9.98962569,2.712,0.02762590388577452,0.0007631905655060517,,13.806,802.8,1025.9,0.2,0.0,,1.0,494.4926385283724,0.3407811987168046,,Kepler
922,Kepler-1171 b,1.44259054,2.395,0.011933202639193556,0.00014240132522805606,,10.547,2791.8,3567.6,28.2,12.3,,1.0,110.24523579412084,1.7216426522918737,,Kepler
923,Kepler-1172 b,26.01879744,3.313,0.03615858864316174,0.001307443532665385,,14.14,629.9,805.0,0.0,0.0,,1.0,576.713118831812,0.2212839173054953,,Kepler
924,Kepler-1173 b,0.76985446,0.879,0.010331505069603387,0.00010673999700324049,,11.884,1719.1,2196.8,6.6,1.8,,1.0,204.06091546846656,0.5014265287973878,,Kepler
